,Timestamp,Side,Base Currency Quantity Traded,Quote Currency Quantity Traded,Volume(USD),Liquidity in Pool(USD),Pool ID
0,1588710145,Sell,28968316075.93534,25428445.957789472315929541,28148301586.03088148507157692398825,240555544.6013326460565655845445066,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
1,1589850429,Buy,25294791.652186761577130402,28184939138.219677,27259753396.28834782902435816925784,249256307.9993839356742301364254084,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
2,1589164213,Sell,13359878985.090961624810847893,14610718.961628853744310031,13423408989.03659066972801239950601,82645500.35488657281604062818123304,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
3,1617108509,Sell,6887000,5990652.7371786815366923,11029715648.72159798743878461135205,0.003420674944558147947322700984133829,0x23fe4ee3bd9bfd1152993a7954298bb4d426698f
4,1617139810,Sell,6887000,5974779.3381845163122171,11017636252.92521755536995878068531,0.003421464654088876732141029230008396,0xe5ffe183ae47f1a0e4194618d34c5b05b98953a8
5,1617125494,Buy,5990620.2358275730622927,6887000,10960535614.16002391682295420606054,0.003399229178107917183558126071385678,0xf9c1fa7d41bf44ade1dd08d37cc68f67ae75bf92
6,1617199172,Sell,6887000,5973362.8050468151713703,10931540454.240024434064419683457,0.003395130582374725685667322622672001,0x382a9a8927f97f7489af3f0c202b23ed1eb772b5
7,1589819777,Sell,274795.03024616,8116993.051006521595007946,7929742532.900129291150788254729665,152814355.1492186284341201368468625,0xbb2b8038a1640196fbe3e38816f3e67cba72d940
8,1596228131,Sell,16011655334853338.20339300071418249,2174555.823901970682378638,6890177887.539517063257493038770958,6382366.414818941500697170774585623,0x811beed0119b4afce20d2583eb608c6f7af1954f
9,1600302037,Sell,752748838.359000934930117315,7474942.009555452922051008,6611984149.082827238830149765661246,102982911.3785394171707648012416865,0xd3d2e2692501a5c9ca623199d38826e513033a17
10,1616944422,Sell,309913848.771235348898288102,3581912.913406395105833525,6335950856.597737212161569744104345,30489305.95703034732062852289819855,0x7d7e813082ef6c143277c71786e5be626ec77b20
11,1616909069,Sell,4699162810.434913138032809463,1781965.240272018695489151,4422960164.514583788840935249401623,500075364.9091432828148745304857411,0x94b0a3d511b6ecdb17ebf877278ab030acb0a878
12,1595883712,Sell,296879676.635572126372444229,5006982.748381085931136459,3901584974.487628730061108591796794,13545.66566030408046908604900374886,0xcfb8cf118b4f0abb2e8ce6dbeb90d6bc0a62693d
13,1589824102,Sell,163843340.24060028776160603,3413937.852426787788725817,3327418685.806588746376880038580271,53288225.02297358662703687262439592,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
14,1595071291,Sell,134835.700795927664698952,5024762.404053157424556343,2425892189.20579300184729874481352,4721355.533897231144927227876954953,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
15,1589825028,Buy,4668594.028527396337767009,1866848191.452592614,2039225275.1335361617168122426545,13659435.94021628509372985086244685,0xc5be99a02c6857f9eac67bbce58df5572498f40c
16,1598447926,Sell,370577694.691576341227658435,3238017.652974367406096744,1520910014.603408196819368679678787,1901919.808730421445563035367983885,0xce84867c3c02b05dc570d0135103d3fb9cc19433
17,1618735487,Buy,485140.488669448282370168,2203547879.154797021757406245,1462134990.303558139467680210984423,2580225.648028325399720885227881465,0x80b4d4e9d88d9f78198c56c5a27f3bacb9a685c5
18,1601664580,Sell,42534830692982874329392.5395704815,1180961.569180848300306427,1416819602.57540443266824693485011,30027387.91059561994938966941613914,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
19,1589837037,Sell,1391367374.34664,1390610768.254492,1389430636.440893585088801303147665,61447833.6930032077685620100866795,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
